Driver,Lap,Position,Lap Time,Lap Time (sec),Stops,Pit Time (sec),Total Pit Time (sec),Rolling Avg
PIA,1,1,1:26.746,86.746,,,,86.746
PIA,2,1,1:24.038,84.038,,,,85.392
PIA,3,1,1:24.401,84.401,,,,85.06166666666667
PIA,4,1,1:24.115,84.115,,,,84.82499999999999
PIA,5,1,1:23.796,83.796,,,,84.6192
PIA,6,1,1:23.846,83.846,,,,84.03920000000001
PIA,7,1,1:24.110,84.11,,,,84.0536
PIA,8,1,1:23.892,83.892,,,,83.9518
PIA,9,1,1:24.206,84.206,,,,83.97
PIA,10,1,1:24.257,84.257,,,,84.06219999999999
PIA,11,1,1:24.062,84.062,,,,84.1054
PIA,12,1,1:23.893,83.893,,,,84.06200000000001
PIA,13,1,1:23.887,83.887,,,,84.06099999999999
PIA,14,1,1:24.683,84.683,,,,84.1564
PIA,15,1,1:24.299,84.299,,,,84.1648
PIA,16,1,1:24.237,84.237,,,,84.19980000000001
PIA,17,1,1:24.248,84.248,,,,84.2708
PIA,20,4,1:23.603,83.603,,,,84.214
PIA,21,3,1:23.474,83.474,,,,83.9722
PIA,22,2,1:23.267,83.267,,,,83.7658
PIA,23,2,1:23.102,83.102,,,,83.5388
PIA,24,1,1:23.095,83.095,,,,83.3082
PIA,25,1,1:22.962,82.962,,,,83.17999999999999
PIA,26,1,1:22.654,82.654,,,,83.01599999999999
PIA,27,1,1:22.747,82.747,,,,82.912
PIA,28,1,1:22.790,82.79,,,,82.8496
PIA,29,1,1:22.704,82.704,,,,82.7714
PIA,30,1,1:23.041,83.041,,,,82.78720000000001
PIA,31,1,1:23.172,83.172,,,,82.8908
PIA,32,1,1:23.397,83.397,,,,83.0208
PIA,33,1,1:25.863,85.863,,,,83.63539999999999
PIA,34,1,1:24.729,84.729,,,,84.0404
PIA,35,1,1:24.557,84.557,,,,84.34360000000001
PIA,36,1,1:24.193,84.193,,,,84.54780000000001
PIA,37,1,1:24.384,84.384,,,,84.7452
PIA,38,1,1:24.171,84.171,,,,84.4068
PIA,39,1,1:24.240,84.24,,,,84.309
PIA,40,1,1:23.760,83.76,,,,84.1496
PIA,41,1,1:23.950,83.95,,,,84.10100000000001
PIA,42,1,1:24.071,84.071,,,,84.0384
PIA,43,1,1:24.200,84.2,,,,84.0442
PIA,44,1,1:24.033,84.033,,,,84.00280000000001
PIA,45,1,1:24.104,84.104,,,,84.07160000000002
PIA,46,1,1:24.211,84.211,,,,84.12379999999999
PIA,49,3,1:22.390,82.39,,,,83.7876
PIA,50,2,1:21.863,81.863,,,,83.3202
PIA,51,2,1:21.716,81.716,,,,82.85679999999999
PIA,52,2,1:21.861,81.861,,,,82.4082
PIA,53,2,1:22.367,82.367,,,,82.0394
PIA,54,2,1:22.161,82.161,,,,81.9936
PIA,55,2,1:21.858,81.858,,,,81.99260000000001
PIA,56,2,1:22.191,82.191,,,,82.08760000000001
PIA,57,2,1:22.505,82.505,,,,82.2164
PIA,58,2,1:22.431,82.431,,,,82.2292
PIA,59,2,1:22.008,82.008,,,,82.1986
PIA,60,2,1:22.542,82.542,,,,82.3354
PIA,61,2,1:22.060,82.06,,,,82.3092
PIA,62,2,1:22.157,82.157,,,,82.2396
PIA,63,2,1:22.459,82.459,,,,82.2452
PIA,64,2,1:23.060,83.06,,,,82.4556
PIA,65,2,1:22.771,82.771,,,,82.5014
PIA,66,2,1:22.645,82.645,,,,82.6184
PIA,67,2,1:22.620,82.62,,,,82.711
PIA,68,1,1:22.999,82.999,,,,82.819
PIA,69,1,1:22.597,82.597,,,,82.7264
PIA,70,1,1:22.927,82.927,,,,82.7576
VER,1,2,1:28.336,88.336,,,,88.336
VER,2,2,1:24.026,84.026,,,,86.181
VER,3,2,1:24.075,84.075,,,,85.479
VER,4,3,1:26.075,86.075,,,,85.628
VER,5,3,1:23.979,83.979,,,,85.2982
VER,6,3,1:24.255,84.255,,,,84.482
VER,7,3,1:24.380,84.38,,,,84.5528
VER,8,3,1:24.292,84.292,,,,84.5962
VER,9,3,1:24.444,84.444,,,,84.27000000000001
VER,10,3,1:24.514,84.514,,,,84.377
VER,11,3,1:24.374,84.374,,,,84.4008
VER,12,3,1:24.422,84.422,,,,84.4092
VER,13,3,1:24.769,84.769,,,,84.5046
VER,14,3,1:24.752,84.752,,,,84.5662
VER,15,3,1:24.538,84.538,,,,84.571
VER,16,3,1:24.778,84.778,,,,84.65180000000001
VER,17,3,1:24.690,84.69,,,,84.70540000000001
VER,18,2,1:24.691,84.691,,,,84.6898
VER,19,1,1:24.523,84.523,,,,84.644
VER,20,1,1:24.501,84.501,,,,84.6366
VER,23,5,1:22.769,82.769,,,,84.23479999999999
VER,24,4,1:22.791,82.791,,,,83.855
VER,25,4,1:22.782,82.782,,,,83.47319999999999
VER,26,4,1:22.716,82.716,,,,83.11179999999999
VER,27,4,1:22.655,82.655,,,,82.7426
VER,28,4,1:22.763,82.763,,,,82.7414
VER,29,4,1:22.807,82.807,,,,82.7446
VER,30,4,1:23.150,83.15,,,,82.8182
VER,31,4,1:23.416,83.416,,,,82.9582
